Main,Middle,Sub,Main,Middle,Sub,Central,Unfiltered,Description,DatapointType,Security
 , ,F15_08.Ctl,3,4,8,,,,DPT-1,Auto
 , ,F15_01.Fdb,3,4,101,,,,DPT-1,Auto
 , ,F15_02.Fdb,3,4,102,,,,DPT-1,Auto
 , ,F15_03.Fdb,3,4,103,,,,DPT-1,Auto
 , ,F15_04.Fdb,3,4,104,,,,DPT-1,Auto
 , ,F15_05.Fdb,3,4,105,,,,DPT-1,Auto
 , ,F15_06.Fdb,3,4,106,,,,DPT-1,Auto
 , ,F15_07.Fdb,3,4,107,,,,DPT-1,Auto
 , ,F15_08.Fdb,3,4,108,,,,DPT-1,Auto
 , ,F15_All.Scn,3,4,200,,,场景,DPT-18,Auto
 , ,F15_Actr.Lock,3,4,201,,,执行器锁定,DPT-1,Auto
 , ,F15_PB.Lock,3,4,211,,,面板锁定,DPST-1-2,Auto
 , ,F15_Scd.En,3,4,250,,,定时启用,DPST-1-3,Auto
 ,F16, ,3,5,,,,,,Auto
 , ,F16_01.Ctl,3,5,1,,,,DPT-1,Auto
 , ,F16_02.Ctl,3,5,2,,,,DPT-1,Auto
 , ,F16_03.Ctl,3,5,3,,,,DPT-1,Auto
 , ,F16_04.Ctl,3,5,4,,,,DPT-1,Auto
 , ,F16_05.Ctl,3,5,5,,,,DPT-1,Auto
 , ,F16_06.Ctl,3,5,6,,,,DPT-1,Auto
 , ,F16_07.Ctl,3,5,7,,,,DPT-1,Auto
 , ,F16_08.Ctl,3,5,8,,,,DPT-1,Auto
 , ,F16_01.Fdb,3,5,101,,,,DPT-1,Auto
 , ,F16_02.Fdb,3,5,102,,,,DPT-1,Auto
 , ,F16_03.Fdb,3,5,103,,,,DPT-1,Auto
 , ,F16_04.Fdb,3,5,104,,,,DPT-1,Auto
 , ,F16_05.Fdb,3,5,105,,,,DPT-1,Auto
 , ,F16_06.Fdb,3,5,106,,,,DPT-1,Auto
 , ,F16_07.Fdb,3,5,107,,,,DPT-1,Auto
 , ,F16_08.Fdb,3,5,108,,,,DPT-1,Auto
 , ,F16_All.Scn,3,5,200,,,场景,DPT-18,Auto
 , ,F16_Actr.Lock,3,5,201,,,执行器锁定,DPT-1,Auto
 , ,F16_PB.Lock,3,5,211,,,面板锁定,DPST-1-2,Auto
 , ,F16_Scd.En,3,5,250,,,定时启用,DPST-1-3,Auto
 ,F17, ,3,6,,,,,,Auto
 , ,F17_01.Ctl,3,6,1,,,,DPT-1,Auto
 , ,F17_02.Ctl,3,6,2,,,,DPT-1,Auto
 , ,F17_03.Ctl,3,6,3,,,,DPT-1,Auto
 , ,F17_04.Ctl,3,6,4,,,,DPT-1,Auto
 , ,F17_05.Ctl,3,6,5,,,,DPT-1,Auto
 , ,F17_06.Ctl,3,6,6,,,,DPT-1,Auto
 , ,F17_07.Ctl,3,6,7,,,,DPT-1,Auto
 , ,F17_08.Ctl,3,6,8,,,,DPT-1,Auto
 , ,F17_01.Fdb,3,6,101,,,,DPT-1,Auto
 , ,F17_02.Fdb,3,6,102,,,,DPT-1,Auto
 , ,F17_03.Fdb,3,6,103,,,,DPT-1,Auto
 , ,F17_04.Fdb,3,6,104,,,,DPT-1,Auto
 , ,F17_05.Fdb,3,6,105,,,,DPT-1,Auto
 , ,F17_06.Fdb,3,6,106,,,,DPT-1,Auto
 , ,F17_07.Fdb,3,6,107,,,,DPT-1,Auto
 , ,F17_08.Fdb,3,6,108,,,,DPT-1,Auto
 , ,F17_All.Scn,3,6,200,,,场景,DPT-18,Auto
 , ,F17_Actr.Lock,3,6,201,,,执行器锁定,DPT-1,Auto
 , ,F17_PB.Lock,3,6,211,,,面板锁定,DPST-1-2,Auto
 , ,F17_Scd.En,3,6,250,,,定时启用,DPST-1-3,Auto
